band,album,release_date,date_disp,month_key,sort_key,hmb_genre,hmb_url,cover_url,album_id,upcoming,final_genre,genre_status,genre_source,filter_slugs,ma_search_url
King Potenaz,Arcane Desert Rituals Vol. 2,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,"Doom, Doom Metal, Stoner Metal, Rock",https://heavymetalbest.com/album/king-potenaz/arcane-desert-rituals-vol.-2?albumId=7UTNMvVe9nmaLX3Eztna,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FArcane-Desert-Rituals-Vol.-2-full-length_1780048060845_200_200.webp?alt=media&token=0cab3498-022c-47bb-a69d-6f96ea25fd3a,7UTNMvVe9nmaLX3Eztna,True,Doom Metal,verified,firebase,doom-metal,https://www.metal-archives.com/search?searchString=King%20Potenaz&type=band_name
Cornucopia,Cosmic Consciousness,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,Thrash Metal,https://heavymetalbest.com/album/cornucopia/cosmic-consciousness?albumId=Avzt3Rm26NK8arP9AhlV,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FCosmic-Consciousness-full-length_1779874922896_200_200.webp?alt=media&token=0135b3bc-7221-4769-b5e4-1cf642014729,Avzt3Rm26NK8arP9AhlV,True,Thrash Metal,verified,firebase,thrash-metal,https://www.metal-archives.com/search?searchString=Cornucopia&type=band_name
BalashToth,Equation II - The Antithesis of Life and Free Will,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,"Death, Thrash Metal, Death Metal",https://heavymetalbest.com/album/balashtoth/equation-ii---the-antithesis-of-life-and-free-will?albumId=E0j2dXrJcjA3iHSyuZeT,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FEquation-II---The-Antithesis-of-Life-and-Free-Will-full-length_1779968621611_200_200.webp?alt=media&token=8401c643-888a-489c-8fc3-17a2b8ee7377,E0j2dXrJcjA3iHSyuZeT,True,Death Metal,verified,firebase,death-metal,https://www.metal-archives.com/search?searchString=BalashToth&type=band_name
Woewarden,The Roots of My Neglect,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,,https://heavymetalbest.com/album/woewarden/the-roots-of-my-neglect?albumId=Hsd6xZeosRMeTFquy85M,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThe-Roots-of-My-Neglect-full-length_1779969913818_200_200.webp?alt=media&token=c833b3f7-b8ad-4791-a167-0340b43db577,Hsd6xZeosRMeTFquy85M,True,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Woewarden&type=band_name
Defiled,Altered State,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,Death Metal,https://heavymetalbest.com/album/defiled/altered-state?albumId=Ke9CRDi3r2Wl2NzCBSWr,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FAltered-State-full-length_1779874974690_200_200.webp?alt=media&token=51f6cec8-447e-4aac-b970-c80331311a99,Ke9CRDi3r2Wl2NzCBSWr,True,Death Metal,verified,firebase,death-metal,https://www.metal-archives.com/search?searchString=Defiled&type=band_name
Goetia,Mortuary Cult,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,Death Metal,https://heavymetalbest.com/album/goetia/mortuary-cult?albumId=LXGMJqtF7W8SSRmclNT2,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FMortuary-Cult-full-length_1779969707457_200_200.webp?alt=media&token=aa77a3aa-bf26-453f-af4a-1ed32cec7494,LXGMJqtF7W8SSRmclNT2,True,Death Metal,verified,firebase,death-metal,https://www.metal-archives.com/search?searchString=Goetia&type=band_name
Nuclear Tomb,Epoch Inhumane,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,"Progressive Thrash, Death Metal",https://heavymetalbest.com/album/nuclear-tomb/epoch-inhumane?albumId=PmwI3B3qZhCF1xBTIkoU,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FEpoch-Inhumane-full-length_1779875279104_200_200.webp?alt=media&token=0dcb4274-8744-4ab9-9f1a-1b16d7d4a0a9,PmwI3B3qZhCF1xBTIkoU,True,Death Metal,verified,firebase,death-metal,https://www.metal-archives.com/search?searchString=Nuclear%20Tomb&type=band_name
Goreworm,Miasmic Solitude,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,,https://heavymetalbest.com/album/goreworm/miasmic-solitude?albumId=RTzw5CWiY3jdpGyVCzdS,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FMiasmic-Solitude-full-length_1779875078401_200_200.webp?alt=media&token=106ad403-d5db-40ad-9262-aef0ef8f840b,RTzw5CWiY3jdpGyVCzdS,True,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Goreworm&type=band_name
Fires in the Distance,Circadian Promise,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,"Melodic Doom, Death Metal",https://heavymetalbest.com/album/fires-in-the-distance/circadian-promise?albumId=SC7uIiFbmouNsdwuSSbP,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FCircadian-Promise-full-length_1779969600562_200_200.webp?alt=media&token=cb759629-6d9d-4328-b275-c644e824d884,SC7uIiFbmouNsdwuSSbP,True,Death Metal,verified,firebase,death-metal,https://www.metal-archives.com/search?searchString=Fires%20in%20the%20Distance&type=band_name
MΛKE,Exegesis at the End of Time,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,"Doom Metal, Post-Rock, Progressive Sludge",https://heavymetalbest.com/album/mλke/exegesis-at-the-end-of-time?albumId=UeIeEAKIRA6p8zgqDnw7,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FExegesis-at-the-End-of-Time-full-length_1779969846823_200_200.webp?alt=media&token=76058236-cf86-461d-854d-c9e690af89ed,UeIeEAKIRA6p8zgqDnw7,True,Doom Metal,verified,firebase,doom-metal,https://www.metal-archives.com/search?searchString=M%CE%9BKE&type=band_name
Hecate,Comment est la nuit ?,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,Black Metal,https://heavymetalbest.com/album/hecate/comment-est-la-nuit-?albumId=aUOatF1s7Opo5TJYRwrF,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FComment-est-la-nuit--full-length_1779969734271_200_200.webp?alt=media&token=3ae947c2-c954-4498-82c7-dd0540c97128,aUOatF1s7Opo5TJYRwrF,True,Black Metal,verified,firebase,black-metal,https://www.metal-archives.com/search?searchString=Hecate&type=band_name
Lex Legion,Lex Legion,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,Heavy Metal,https://heavymetalbest.com/album/lex-legion/lex-legion?albumId=bQJhZ59x6GT0Uizi4gxg,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FLex-Legion-full-length_1779969768623_200_200.webp?alt=media&token=dd0f37f1-a563-4e5c-a8a0-ad7c8ecf37f1,bQJhZ59x6GT0Uizi4gxg,True,Heavy Metal,verified,firebase,heavy-metal,https://www.metal-archives.com/search?searchString=Lex%20Legion&type=band_name
Numen,Erre,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,"Black Metal, Folk Metal, Black",https://heavymetalbest.com/album/numen/erre?albumId=dMta6cqpUBDEI9vla8Uq,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FErre-full-length_1779969879084_200_200.webp?alt=media&token=47f4f1b3-5589-419b-9e4a-db838a638453,dMta6cqpUBDEI9vla8Uq,True,Black Metal,verified,firebase,black-metal,https://www.metal-archives.com/search?searchString=Numen&type=band_name
Saprobiontic,Of Fire and Bloodshed,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,,https://heavymetalbest.com/album/saprobiontic/of-fire-and-bloodshed?albumId=ekn5EGuaSFS2dPai0pZc,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FOf-Fire-and-Bloodshed-full-length_1779875433637_200_200.webp?alt=media&token=cc2c7a77-091a-495f-95c1-c387ebc44d80,ekn5EGuaSFS2dPai0pZc,True,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Saprobiontic&type=band_name
Moontowers,Lethal Messiah,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,Heavy Metal,https://heavymetalbest.com/album/moontowers/lethal-messiah?albumId=hVq92GQzWlDu3RPwmNy6,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FLethal-Messiah-full-length_1779969811620_200_200.webp?alt=media&token=b814b3d9-b012-4809-9c60-55e81af5f4b2,hVq92GQzWlDu3RPwmNy6,True,Heavy Metal,verified,firebase,heavy-metal,https://www.metal-archives.com/search?searchString=Moontowers&type=band_name
Heavenwood,The Tarot of the Bohemians - Part II,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,,https://heavymetalbest.com/album/heavenwood/the-tarot-of-the-bohemians---part-ii?albumId=ijEApDzHfzd2K8fjeVCg,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThe-Tarot-of-the-Bohemians---Part-II-full-length_1779875147797_200_200.webp?alt=media&token=b88b3ffe-34fc-433e-9595-9ffdcc7c160d,ijEApDzHfzd2K8fjeVCg,True,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Heavenwood&type=band_name
Khemmis,Khemmis,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,Doom Metal,https://heavymetalbest.com/album/khemmis/khemmis?albumId=j15KVTSfQB6hOmo0GjCE,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FKhemmis-full-length_1779969756185_200_200.webp?alt=media&token=1935375d-29f3-4556-a6ac-c482874bb5af,j15KVTSfQB6hOmo0GjCE,True,Doom Metal,verified,firebase,doom-metal,https://www.metal-archives.com/search?searchString=Khemmis&type=band_name
Bakken,Consent to Deception,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,"Thrash, Power Metal, Thrash Metal",https://heavymetalbest.com/album/bakken/consent-to-deception?albumId=mElBDk5cc3OuXMp4xwXo,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FConsent-to-Deception-full-length_1780047683098_200_200.webp?alt=media&token=5e6f5c4d-40de-480e-9b37-1095e6e23c40,mElBDk5cc3OuXMp4xwXo,True,Thrash Metal,verified,firebase,thrash-metal,https://www.metal-archives.com/search?searchString=Bakken&type=band_name
Fleshcrawl,Epitome of Carnage,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,Death Metal,https://heavymetalbest.com/album/fleshcrawl/epitome-of-carnage?albumId=nxqVCirNl8VAjQmMNTEX,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FEpitome-of-Carnage-full-length_1779969689952_200_200.webp?alt=media&token=31e95b28-be0b-49e0-a046-1348d39695ce,nxqVCirNl8VAjQmMNTEX,True,Death Metal,verified,firebase,death-metal,https://www.metal-archives.com/search?searchString=Fleshcrawl&type=band_name
Edu Falaschi,Mi'raj,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,,https://heavymetalbest.com/album/edu-falaschi/mi'raj?albumId=oKbAo9V2QpDfQ1dYQ1R4,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FMi'raj-full-length_1779875011952_200_200.webp?alt=media&token=acdf77ed-ea37-448b-a2d7-08e318806dfa,oKbAo9V2QpDfQ1dYQ1R4,True,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Edu%20Falaschi&type=band_name
Malist,Eternal Echo of the Fall,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,Black Metal,https://heavymetalbest.com/album/malist/eternal-echo-of-the-fall?albumId=uGN1J35xm13acvpeiUWS,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FEternal-Echo-of-the-Fall-full-length_1779969791278_200_200.webp?alt=media&token=f98ff4b9-bb97-4730-8ec5-bff48c41b136,uGN1J35xm13acvpeiUWS,True,Black Metal,verified,firebase,black-metal,https://www.metal-archives.com/search?searchString=Malist&type=band_name
Bloodhunter,Sons of the Abandoned,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,,https://heavymetalbest.com/album/bloodhunter/sons-of-the-abandoned?albumId=uShWKQ8YhRUPSD8GqerK,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FSons-of-the-Abandoned-full-length_1779968648990_200_200.webp?alt=media&token=88c0e152-c516-42e7-9130-48b25e423762,uShWKQ8YhRUPSD8GqerK,True,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Bloodhunter&type=band_name
Stormkeep,The Nocturnes of Iswylm,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,,https://heavymetalbest.com/album/stormkeep/the-nocturnes-of-iswylm?albumId=yd0oVL5mBmvHNg5mFhLJ,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThe-Nocturnes-of-Iswylm-full-length_1779969897945_200_200.webp?alt=media&token=88479ac7-08cb-4575-91dc-9cd9a6234273,yd0oVL5mBmvHNg5mFhLJ,True,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=Stormkeep&type=band_name
Day 40,Phenomenon,2026-06-12,"June 12, 2026",June 2026,2026-06-12T00:00:00,Thrash Metal,https://heavymetalbest.com/album/day-40/phenomenon?albumId=z8zgP9iEQ53SILv14RCP,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FPhenomenon-full-length_1779874951985_200_200.webp?alt=media&token=b45cbd1c-6c24-436f-af26-3ff68f3585cb,z8zgP9iEQ53SILv14RCP,True,Thrash Metal,verified,firebase,thrash-metal,https://www.metal-archives.com/search?searchString=Day%2040&type=band_name
Desdemona,State of Invocation,2026-06-10,"June 10, 2026",June 2026,2026-06-10T00:00:00,Doom Metal,https://heavymetalbest.com/album/desdemona/state-of-invocation?albumId=KkPgBKQQSHinH48dyMAj,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FState-of-Invocation-full-length_1779874985078_200_200.webp?alt=media&token=25eaea06-95ac-40ac-9621-13b1970441eb,KkPgBKQQSHinH48dyMAj,True,Doom Metal,verified,firebase,doom-metal,https://www.metal-archives.com/search?searchString=Desdemona&type=band_name
Pylar,Delyrio,2026-06-10,"June 10, 2026",June 2026,2026-06-10T00:00:00,"Doom Metal, Drone",https://heavymetalbest.com/album/pylar/delyrio?albumId=YKGt750VqBONYfkeopZU,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FDelyrio-full-length_1779875314787_200_200.webp?alt=media&token=3abc7016-d4e7-4f56-9e05-6b6d9d70ccba,YKGt750VqBONYfkeopZU,True,Doom Metal,verified,firebase,doom-metal,https://www.metal-archives.com/search?searchString=Pylar&type=band_name
Véhémence,Assiégé pour l'éternité,2026-06-10,"June 10, 2026",June 2026,2026-06-10T00:00:00,,https://heavymetalbest.com/album/véhémence/assiégé-pour-l'éternité?albumId=aXHcRODDZUYJgenlcxU0,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FAssiégé-pour-l'éternité-full-length_1779875531425_200_200.webp?alt=media&token=8f3cf6d1-2da1-4b63-ae46-2a9f7d86fbf5,aXHcRODDZUYJgenlcxU0,True,Needs Review,needs_review,no_genre,needs-review,https://www.metal-archives.com/search?searchString=V%C3%A9h%C3%A9mence&type=band_name
Confused Mind,Ascendancy Of Confusion,2026-06-10,"June 10, 2026",June 2026,2026-06-10T00:00:00,Thrash Metal,https://heavymetalbest.com/album/confused-mind/ascendancy-of-confusion?albumId=t6R1EQuP6K9lHuLmrUPj,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FAscendancy-Of-Confusion-full-length_1779874899213_200_200.webp?alt=media&token=efc56fa2-240a-48d3-84e3-899ba263dc0b,t6R1EQuP6K9lHuLmrUPj,True,Thrash Metal,verified,firebase,thrash-metal,https://www.metal-archives.com/search?searchString=Confused%20Mind&type=band_name
Argahal,The Path of the Lonely Man,2026-06-07,"June 7, 2026",June 2026,2026-06-07T00:00:00,Black Metal,https://heavymetalbest.com/album/argahal/the-path-of-the-lonely-man?albumId=tRB3UZ3YDGgjdNl1XMAg,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThe-Path-of-the-Lonely-Man-full-length_1779874804740_200_200.webp?alt=media&token=646b9c4f-2079-42b7-8efb-e51c9e547d92,tRB3UZ3YDGgjdNl1XMAg,False,Black Metal,verified,firebase,black-metal,https://www.metal-archives.com/search?searchString=Argahal&type=band_name
Larve,Noise from Beyond,2026-06-07,"June 7, 2026",June 2026,2026-06-07T00:00:00,Black Metal,https://heavymetalbest.com/album/larve/noise-from-beyond?albumId=1LIyd8C1IYHsbll4TWVt,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FNoise-from-Beyond-full-length_1779875203545_200_200.webp?alt=media&token=0354c4b7-5139-442d-aadc-cf0d95c5f49b,1LIyd8C1IYHsbll4TWVt,False,Black Metal,verified,firebase,black-metal,https://www.metal-archives.com/search?searchString=Larve&type=band_name
Magefa,Legion,2026-06-06,"June 6, 2026",June 2026,2026-06-06T00:00:00,Death Metal,https://heavymetalbest.com/album/magefa/legion?albumId=IQAnbpIPSixPtgYwYI9u,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FLegion-full-length_1776340940977_200_200.webp?alt=media&token=308d5d5e-07ee-4018-a5a5-c37b6955b929,IQAnbpIPSixPtgYwYI9u,True,Death Metal,verified,firebase,death-metal,https://www.metal-archives.com/search?searchString=Magefa&type=band_name
Vølus,Grim Dark Execution,2026-06-06,"June 6, 2026",June 2026,2026-06-06T00:00:00,"Noise, Black Metal, Black, Death Metal",https://heavymetalbest.com/album/vølus/grim-dark-execution?albumId=DyWrNSmI3ZqncYRhSI1u,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FGrim-Dark-Execution-full-length_1779460091312_200_200.webp?alt=media&token=4e12d203-72fd-4267-82f0-065c170ce554,DyWrNSmI3ZqncYRhSI1u,True,Black Metal,verified,firebase,black-metal,https://www.metal-archives.com/search?searchString=V%C3%B8lus&type=band_name
Godless,Adversus Parousia,2026-06-06,"June 6, 2026",June 2026,2026-06-06T00:00:00,Death Metal,https://heavymetalbest.com/album/godless/adversus-parousia?albumId=p3q417zawkr3H11fKwxo,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FAdversus-Parousia-full-length_1779875062140_200_200.webp?alt=media&token=0ce4a4ba-9b59-46fe-ab1b-9b8080d71aa6,p3q417zawkr3H11fKwxo,False,Death Metal,verified,firebase,death-metal,https://www.metal-archives.com/search?searchString=Godless&type=band_name
Space Parasites,Make Me Evil,2026-06-06,"June 6, 2026",June 2026,2026-06-06T00:00:00,Thrash Metal,https://heavymetalbest.com/album/space-parasites/make-me-evil?albumId=oHxgLyEKiUcBXDXgH6qd,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FMake-Me-Evil-full-length_1779875462812_200_200.webp?alt=media&token=1893908a-1175-4638-a8ea-b6e65893f016,oHxgLyEKiUcBXDXgH6qd,False,Thrash Metal,verified,firebase,thrash-metal,https://www.metal-archives.com/search?searchString=Space%20Parasites&type=band_name
The Conquering,Guillotine,2026-06-06,"June 6, 2026",June 2026,2026-06-06T00:00:00,"Viking, Black Metal, Folk",https://heavymetalbest.com/album/the-conquering/guillotine?albumId=lQz9HqAldUOF5YZcSeAc,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FGuillotine-full-length_1779875500197_200_200.webp?alt=media&token=d152b1b0-5d36-461e-b62a-539e373698bb,lQz9HqAldUOF5YZcSeAc,False,Viking Metal,verified,firebase,viking-metal,https://www.metal-archives.com/search?searchString=The%20Conquering&type=band_name
