band,album,release_date,date_disp,month_key,sort_key,hmb_genre,hmb_url,cover_url,album_id,upcoming
Ágona,O Além Ser,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,"Progressive Death, Thrash Metal",https://heavymetalbest.com/album/ágona/o-além-ser?albumId=G4tpLp73u6GWkWJfc0tJ,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FO-Além-Ser-full-length_1781295478329_200_200.webp?alt=media&token=4c894087-681e-460c-ad06-6e57965858bf,G4tpLp73u6GWkWJfc0tJ,True
Der Jäger,..In Which Evil Dwells,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,Heavy Metal,https://heavymetalbest.com/album/der-jäger/..in-which-evil-dwells?albumId=MHwZvniKQXKprYFtRfns,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2F..In-Which-Evil-Dwells-full-length_1781295143033_200_200.webp?alt=media&token=f2d272fe-01df-41da-bc3e-a3d9ef3bfcaa,MHwZvniKQXKprYFtRfns,True
Forsmán,Brenndar rústir & fuðrandi fjörur,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,Black Metal,https://heavymetalbest.com/album/forsmán/brenndar-rústir-&-fuðrandi-fjörur?albumId=MOpjRjcGA8dk5S5iU1zU,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FBrenndar-rústir-&-fuðrandi-fjörur-full-length_1781286823670_200_200.webp?alt=media&token=a2456de6-bbf7-45dc-9a65-faaa7538c6ee,MOpjRjcGA8dk5S5iU1zU,True
Entgeist,Welk,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,,https://heavymetalbest.com/album/entgeist/welk?albumId=O2j4k3IORAak7xjsn5HX,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FWelk-full-length_1781286764632_200_200.webp?alt=media&token=429924d1-9062-4c99-b8b9-4445779751c2,O2j4k3IORAak7xjsn5HX,True
Feralia,Ultima Requies,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,Black Metal,https://heavymetalbest.com/album/feralia/ultima-requies?albumId=OVUu8HEYtFykUDNwRZaW,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FUltima-Requies-full-length_1781286812555_200_200.webp?alt=media&token=5575f5ca-813a-4cd0-b727-a514c12af790,OVUu8HEYtFykUDNwRZaW,True
Dead Kosmonaut,Retrospectre,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,Heavy Metal,https://heavymetalbest.com/album/dead-kosmonaut/retrospectre?albumId=QPPCeOwmvsmW3btMwzyQ,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FRetrospectre-full-length_1781208123201_200_200.webp?alt=media&token=1bafa844-416c-4d85-a398-a551deac5ea7,QPPCeOwmvsmW3btMwzyQ,True
Speedslut,Cimbrian Rites,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,,https://heavymetalbest.com/album/speedslut/cimbrian-rites?albumId=Qfd0bBLIL6DlPn8Xyemu,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FCimbrian-Rites-full-length_1781286963294_200_200.webp?alt=media&token=071514a9-725b-4d5d-a733-42c214b10325,Qfd0bBLIL6DlPn8Xyemu,True
Entropist,The Vision,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,,https://heavymetalbest.com/album/entropist/the-vision?albumId=RzFCXVdWay1sPknyEeVh,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThe-Vision-full-length_1781286776526_200_200.webp?alt=media&token=035d67bc-7627-4d9c-9cfe-4aeaca82f998,RzFCXVdWay1sPknyEeVh,True
Fallen Moon Servant,...with a Stone in My Maw,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,Black Metal,https://heavymetalbest.com/album/fallen-moon-servant/...with-a-stone-in-my-maw?albumId=SFcpXM71aV4fjrSi1CN9,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2F...with-a-Stone-in-My-Maw-full-length_1781295242766_200_200.webp?alt=media&token=56407c61-58e6-4408-87ac-843a893eeaad,SFcpXM71aV4fjrSi1CN9,True
Walg,VI,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,,https://heavymetalbest.com/album/walg/vi?albumId=SYg0gpVT2iu8x0r4sctm,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FVI-full-length_1781295449453_200_200.webp?alt=media&token=f02d3307-7b75-4a8c-a7f4-aa9583593af4,SYg0gpVT2iu8x0r4sctm,True
Masterplan,Metalmorphosis,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,Power Metal,https://heavymetalbest.com/album/masterplan/metalmorphosis?albumId=UvV1OhHD3rECVXg5Gbj9,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FMetalmorphosis-full-length_1781208227034_200_200.webp?alt=media&token=a6c54b64-0e51-4d1e-8446-3a9346ce2dbd,UvV1OhHD3rECVXg5Gbj9,True
Monument of Misanthropy,Washington State Charm,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,,https://heavymetalbest.com/album/monument-of-misanthropy/washington-state-charm?albumId=VQKZsTGAhCUbwTdrLaIB,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FWashington-State-Charm-full-length_1781286892815_200_200.webp?alt=media&token=7f40d917-9881-458e-908d-2cf544e822f7,VQKZsTGAhCUbwTdrLaIB,True
Ill Tidings,Seeds of True Rebirth,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,Black Metal,https://heavymetalbest.com/album/ill-tidings/seeds-of-true-rebirth?albumId=VlbRR71bS6tlXj04e9O3,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FSeeds-of-True-Rebirth-full-length_1781295311209_200_200.webp?alt=media&token=0dfa42b1-1fab-4f0b-9215-1f34f43fb9b9,VlbRR71bS6tlXj04e9O3,True
Anxious Arms,In the Shadow of the Cross,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,,https://heavymetalbest.com/album/anxious-arms/in-the-shadow-of-the-cross?albumId=ZUOAsrY892Vi2fwBTbfm,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FIn-the-Shadow-of-the-Cross-full-length_1781286702010_200_200.webp?alt=media&token=c1f67845-f7b1-409b-974e-09f52a17528d,ZUOAsrY892Vi2fwBTbfm,True
Nargaroth,Apocalyptic Steel,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,Black Metal,https://heavymetalbest.com/album/nargaroth/apocalyptic-steel?albumId=aPr6JijrFO6SCMqVqJDv,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FApocalyptic-Steel-full-length_1781208549013_200_200.webp?alt=media&token=eb233705-4167-4621-af8f-2227c53c4817,aPr6JijrFO6SCMqVqJDv,True
Vampyriia,Luxuria Sanguis Plenilunium,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,"Ambient, Drone, Black Metal",https://heavymetalbest.com/album/vampyriia/luxuria-sanguis-plenilunium?albumId=behwDld64yzVePZ7bpSG,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FLuxuria-Sanguis-Plenilunium-full-length_1781295440953_200_200.webp?alt=media&token=ea037918-c651-44e0-93b5-f4e2665eab3d,behwDld64yzVePZ7bpSG,True
Thætas,The Irredeemable Age,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,,https://heavymetalbest.com/album/thætas/the-irredeemable-age?albumId=cXJ8iicI46PtCrm2qlU7,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FThe-Irredeemable-Age-full-length_1781286987943_200_200.webp?alt=media&token=bcaaba93-5a9d-4d13-a805-ad474d0086dd,cXJ8iicI46PtCrm2qlU7,True
Eternios,Requiem for the North,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,,https://heavymetalbest.com/album/eternios/requiem-for-the-north?albumId=hz9wG7FVhFHpajdPO64X,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FRequiem-for-the-North-full-length_1781286793139_200_200.webp?alt=media&token=9eca5cd6-0940-454b-b2ee-b1f1bd9f506d,hz9wG7FVhFHpajdPO64X,True
End All,Hail Mind,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,Thrash Metal,https://heavymetalbest.com/album/end-all/hail-mind?albumId=iDXXxvPIXGkLvqzhc3Nq,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FHail-Mind-full-length_1781295230787_200_200.webp?alt=media&token=8358b818-b7fa-49c8-98e2-eca14bcd28c8,iDXXxvPIXGkLvqzhc3Nq,True
Plaguestorm,Path to Emptiness,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,,https://heavymetalbest.com/album/plaguestorm/path-to-emptiness?albumId=ise5zO2CAO09ZbAm7JtM,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FPath-to-Emptiness-full-length_1781295329334_200_200.webp?alt=media&token=40d912c7-8450-4e29-9b3c-0e846fc1078b,ise5zO2CAO09ZbAm7JtM,True
Mace 'n' Chain,Crowned in Grey Skies,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,Heavy Metal,https://heavymetalbest.com/album/mace-'n'-chain/crowned-in-grey-skies?albumId=j0aAwMVRlEK8UjsA1rce,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FCrowned-in-Grey-Skies-full-length_1781295322895_200_200.webp?alt=media&token=42a9f1a1-b591-4592-b78c-4a535ea56a1f,j0aAwMVRlEK8UjsA1rce,True
Iron Bones,Poison Riot,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,"Speed Metal, Heavy Metal, Heavy",https://heavymetalbest.com/album/iron-bones/poison-riot?albumId=jaTQ04UUxgDQa8SaPwLO,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FPoison-Riot-full-length_1781286878121_200_200.webp?alt=media&token=4b0df555-c74f-47a0-8247-7ac971a1ca8f,jaTQ04UUxgDQa8SaPwLO,True
Powerlöad,In the Pocket,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,"Punk, Heavy Metal",https://heavymetalbest.com/album/powerlöad/in-the-pocket?albumId=jokuYQECjsQ4iLkdDENX,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FIn-the-Pocket-full-length_1781286954295_200_200.webp?alt=media&token=70ed27f9-ed25-4119-982e-3cac47565b98,jokuYQECjsQ4iLkdDENX,True
Ill Omen,Cannot Be Controlled,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,Thrash Metal,https://heavymetalbest.com/album/ill-omen/cannot-be-controlled?albumId=n8zNNphmE9ZeIhooJvPf,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FCannot-Be-Controlled-full-length_1781295295738_200_200.webp?alt=media&token=be877590-dbc4-420e-9b47-f7ebe57fa5ff,n8zNNphmE9ZeIhooJvPf,True
Iskandr,Sacraal,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,"Gothic Rock, Folk, Black Metal",https://heavymetalbest.com/album/iskandr/sacraal?albumId=nLFWlpirXcEGcgUXfylw,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FSacraal-full-length_1781286885199_200_200.webp?alt=media&token=42dcea6b-5e5f-4ef5-bc83-2c472f3262c2,nLFWlpirXcEGcgUXfylw,True
Duir,Catarsi,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,"Atmospheric Folk, Black Metal",https://heavymetalbest.com/album/duir/catarsi?albumId=qoJTrC4RUMbHtJRJvFa4,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FCatarsi-full-length_1781286750440_200_200.webp?alt=media&token=3dddac9c-3f09-417c-9f44-cd0231aae889,qoJTrC4RUMbHtJRJvFa4,True
Seven Chains,"Swollen, In Flux",2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,"Experimental Black, Death Metal","https://heavymetalbest.com/album/seven-chains/swollen,-in-flux?albumId=sMYDRvCwQ0QsHDN6ITQo","https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FSwollen,-In-Flux-full-length_1781295371851_200_200.webp?alt=media&token=db99c219-5b72-460e-8828-0a50eb4ecf25",sMYDRvCwQ0QsHDN6ITQo,True
Amberian Dawn,Temptation's Gates,2026-06-26,"June 26, 2026",June 2026,2026-06-26T00:00:00,,https://heavymetalbest.com/album/amberian-dawn/temptation's-gates?albumId=w86nyTP1XuPAIKmUXMTd,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FTemptation's-Gates-full-length_1781208052585_200_200.webp?alt=media&token=777e6234-ae50-4d95-9cee-9a7375d4d3da,w86nyTP1XuPAIKmUXMTd,True
Valosta Varjoon,"Blut, Stahl und Leid",2026-06-24,"June 24, 2026",June 2026,2026-06-24T00:00:00,Black Metal,"https://heavymetalbest.com/album/valosta-varjoon/blut,-stahl-und-leid?albumId=8c43aNiSusN3LleJoMdX","https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FBlut,-Stahl-und-Leid-full-length_1781208783482_200_200.webp?alt=media&token=9ad152e0-1530-4b26-8e97-8760922631b3",8c43aNiSusN3LleJoMdX,True
Sinthetik Sentienz,Totalitarian,2026-06-24,"June 24, 2026",June 2026,2026-06-24T00:00:00,,https://heavymetalbest.com/album/sinthetik-sentienz/totalitarian?albumId=DbtBKtfm7sQFEbN09SRU,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FTotalitarian-full-length_1781208695797_200_200.webp?alt=media&token=ddff64da-402e-4e8b-969a-bf3e217b5220,DbtBKtfm7sQFEbN09SRU,True
Saki,Pluvia,2026-06-24,"June 24, 2026",June 2026,2026-06-24T00:00:00,Power Metal,https://heavymetalbest.com/album/saki/pluvia?albumId=SxfXyFYFwLOTbahUsmwM,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FPluvia-full-length_1781208687784_200_200.webp?alt=media&token=d3fba69f-08cf-41ba-8ae7-0fd3f5e93e00,SxfXyFYFwLOTbahUsmwM,True
Rose Rose,Inhuman Emotions,2026-06-24,"June 24, 2026",June 2026,2026-06-24T00:00:00,"Death Metal, Grindcore, Crossover, Thrash, Thrash Metal, Hardcore Punk",https://heavymetalbest.com/album/rose-rose/inhuman-emotions?albumId=YrNHr5I2bh6afCEaEzDw,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FInhuman-Emotions-full-length_1781208666924_200_200.webp?alt=media&token=2975834b-677f-41db-93a3-00b028b8254e,YrNHr5I2bh6afCEaEzDw,True
Troy the Band,(Des),2026-06-23,"June 23, 2026",June 2026,2026-06-23T00:00:00,"Doom Metal, Stoner",https://heavymetalbest.com/album/troy-the-band/(des)?albumId=PX4OzDeVHFbftf6PoPgi,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2F(Des)-full-length_1781208753371_200_200.webp?alt=media&token=f7a7f275-c7fc-41ed-bbf5-fa22241399d2,PX4OzDeVHFbftf6PoPgi,True
Psicorragia,Nekromanthra,2026-06-23,"June 23, 2026",June 2026,2026-06-23T00:00:00,"Doom Metal, Death Metal, Death",https://heavymetalbest.com/album/psicorragia/nekromanthra?albumId=WNDucWmwQ3ctmNTlicSj,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FNekromanthra-full-length_1781208641226_200_200.webp?alt=media&token=2ffa3fed-ed07-4311-8672-d970a8ddc070,WNDucWmwQ3ctmNTlicSj,True
Steelballs,Rebels,2026-06-22,"June 22, 2026",June 2026,2026-06-22T00:00:00,"Power, Speed Metal, Power Metal",https://heavymetalbest.com/album/steelballs/rebels?albumId=2SiPThrZDt7mrZy5WMEo,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FRebels-full-length_1781295400581_200_200.webp?alt=media&token=fb2a5e8c-7bfa-465b-99cc-6ebb94cdb885,2SiPThrZDt7mrZy5WMEo,True
Fogos,Of Wyrm and Men,2026-06-21,"June 21, 2026",June 2026,2026-06-21T00:00:00,Black Metal,https://heavymetalbest.com/album/fogos/of-wyrm-and-men?albumId=cfgsjaHgjzdFkc258owu,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FOf-Wyrm-and-Men-full-length_1781208147735_200_200.webp?alt=media&token=ad13c3d6-a303-4dcd-a267-6d00ab34fade,cfgsjaHgjzdFkc258owu,False
Mortiis,Ghosts of Europa,2026-06-21,"June 21, 2026",June 2026,2026-06-21T00:00:00,,https://heavymetalbest.com/album/mortiis/ghosts-of-europa?albumId=KRh7raooEohU1W9FFVp9,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FGhosts-of-Europa-full-length_1781208435216_200_200.webp?alt=media&token=f566110d-8249-4574-b5bb-cc15a03d2d1b,KRh7raooEohU1W9FFVp9,False
Degenerated,Echoes of Infection,2026-06-19,"June 19, 2026",June 2026,2026-06-19T00:00:00,Death Metal,https://heavymetalbest.com/album/degenerated/echoes-of-infection?albumId=9vQbmqpoYJltOvDKQSQk,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FEchoes-of-Infection-full-length_1779037069481_200_200.webp?alt=media&token=62b0d614-0da3-4fd9-a422-79bcd86d3c53,9vQbmqpoYJltOvDKQSQk,False
Gold Spire,Steps into Shadow,2026-06-19,"June 19, 2026",June 2026,2026-06-19T00:00:00,"Avant-garde Death, Doom Metal",https://heavymetalbest.com/album/gold-spire/steps-into-shadow?albumId=2SkFIOiBTpXgODHFqiVo,https://firebasestorage.googleapis.com/v0/b/heavy-metal-best.appspot.com/o/albums_img%2Fthumbnails%2FSteps-into-Shadow-full-length_1780766375351_200_200.webp?alt=media&token=af0e079d-886c-4f88-8701-0de99ae08a7a,2SkFIOiBTpXgODHFqiVo,True
